Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node21-17","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-18","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-19","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-2","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz","251.8 GB","223GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-20","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node21-4","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz","251.8 GB","223GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-5","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz","251.8 GB","223GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-6","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz","251.8 GB","223GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-7","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz","31.3 GB","232GB SSD","NVIDIA Corporation GK210GL [Tesla K80] (rev a1)","none","-","-","-"
"node21-9","grid","Server","GPU Compute (Server)","Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz","251.8 GB","238GB SSD","NVIDIA Corporation GP100GL [Tesla P100 PCIe 12GB] (rev a1)","none","-","-","-"
"node23-14","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-15","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-18","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-4","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-5","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-6","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-7","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node23-8","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-1","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-11","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-12","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-14","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-15","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-16","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-17","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-18","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-3","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-4","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-5","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-6","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-7","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node24-8","grid","RF Device","RF Device","-","-","-","-","-","x300","-","-"
"node3-1","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","X310 (PCIe)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node3-13","grid","Node","Compute Only (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","LTE"
"node3-19","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node3-2","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","B210 (USB)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX, Movidius"
"node3-20","grid","Node","SDR Node (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","X310 (PCIe)","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node3-8","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","232GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","-"
"node4-1","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node7-1","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express), Corporation Wireless 7260","-"
